"dhlabid","urn","title","city","timestamp","year","conc","date","samesaken","Alta.samfunnet.er.i.mot.utbygging","protestbevegelse","at.et.møte.blir.arrangert","tv.program","produksjon.av.film","partipolitikk","kommunestyret","domstoler","regjeringen","myndigheter","demonstranter","politiet","saksbehandling.og.juridiske.prosesser","bygging.av.vei.og.anleggsvirksomhet","undersøkelser.og.utredning","arrestasjoner.og.bruk.av.tvangsmidler","økonomisk.og.næringsmessig.nytte","må.ha.kraft.og.strøm","konflikt.mellom.samer.og.nordmenn","rettigheter.til.land.og.ressurser","natur.og.miljø","vern.av.vassdrag","trussel.mot.samisk.kultur.og.næring","trussel.mot.laksefiske","Alta.kautokeinovassdraget.bør.bygges.ut","samiske.særrettigheter","utsatt.og.usikkerhet","unødvendig","splittelse.og.uenighet","vanskelig.å.snakke.om","urettferdig","opprivende","forsoning","samhold.og.enighet","handlekraft.og.beslutninger","tydelig.og.bestemtrettsak","leiren.i.Stilla","sultestreik","politiaksjonen","stortingets.vedtak","opprettelsen.av.Sametinget","Finnmarksloven","udemokratiske.protester","sivil.ulydighet","demonstrantene.opptrer.dårlig","ikke.voldelige","mediedekning","historisk.betydning","kunst.og.kultur","husker.eller.minnes","feilinformasjon","Konstruktiv.sivil.ulydighet","Manglende.utredning.om.konsekvenser","skeptisk.kraftprognose.motstand","meningsløs.kraftutbygging","Skeptisk.til.ulydighet","lov.og.orden","overdrevet.maktbruk.av.myndigheter.og.politi","fredelige.demonstranter","tydelig.og.bestemt","rettsak","arbeiderpartiet","gasskraftverk","neddemming.av.Masi","Kraftlinjer"
NA,"URN:NBN:no-nb_digavis_rogalandsavis_null_null_20221111_120_263_1","rogalandsavis","Stavanger","20221111","2022","bygdene som var foreslått lagt under vann i utbyggingen av Alta/Kautokeino-vassdraget. Mattis Hætta deltok selv i demonstrasjonene mot",2022-11-11,0.86,0.91,0.96,0.4,0.14,0.13,0.42,0.12,0.13,0.08,0.53,0.96,0.11,0.6,0.2,0.55,0.81,0.18,0.23,0.73,0.72,0.87,0.08,0.89,0.18,0.65,0.77,0.77,0.65,0.9,0.62,0.89,0.88,0.02,0.02,0.45,0.49,0.42,0.17,0.11,0.31,0.08,0.22,0.53,0.78,0.53,0.08,0.28,0.43,0.1,0.78,0.7,0.46,0.7,0.56,0.78,0.56,0.15,0.68,0.01,0.25,0.25,0.37,0.11,0.54,0.08
NA,"URN:NBN:no-nb_digavis_itromso_null_null_20220827_124_198_1","itromso","Tromsø","20220827","2022","Canada. Det var starten på en beve- gelse. Jeg fulgte Altasaken tett, og var en av de første som foreslo",2022-08-27,0.21,0.59,0.89,0.49,0.18,0.19,0.25,0.19,0.2,0.19,0.39,0.75,0.12,0.66,0.33,0.64,0.59,0.49,0.46,0.48,0.66,0.29,0.73,0.66,0.36,0.6,0.57,0.73,0.27,0.2,0.43,0.53,0.74,0.41,0.04,0.81,0.27,0.69,0.23,0.2,0.13,0.34,0.19,0.26,0.58,0.19,0.11,0.29,0.69,0.09,0.63,0.31,0.46,0.42,0.39,0.39,0.41,0.18,0.52,0.01,0.18,0.6,0.17,0.11,0.42,0.15
NA,"URN:NBN:no-nb_digitidsskrift_2022030283162_001","2022030283162",NA,NA,NA,"d B - Ææ 2a - T__ p ""f-:' gen av Alta-vassdraget. Le * Lrr AP tt Ææ a ""T RE ER eR l",NA,0.26,0.45,0.68,0.67,0.4,0.5,0.72,0.45,0.58,0.52,0.68,0.58,0.34,0.83,0.34,0.71,0.74,0.69,0.74,0.49,0.79,0.61,0.81,0.77,0.62,0.66,0.67,0.67,0.41,0.68,0.65,0.65,0.65,0.25,0.31,0.81,0.56,0.4,0.24,0.18,0.55,0.27,0.21,0.4,0.62,0.48,0.42,0.55,0.6,0.28,0.65,0.66,0.51,0.61,0.41,0.51,0.53,0.34,0.67,0.11,0.51,0.77,0.9,0.12,0.13,0.3
NA,"URN:NBN:no-nb_digavis_itromso_null_null_20221112_124_264_1","itromso","Tromsø","20221112","2022","Da hun begynte å jobbe som lærer i Alta, idet Alta-aksjonen bryter ut, er ikke hennes samiske identitet særlig sterk.",2022-11-12,0.73,0.63,0.83,0.19,0.09,0.03,0.1,0.03,0.05,0.02,0.13,0.59,0.04,0.36,0.23,0.43,0.78,0.11,0.25,0.7,0.53,0.15,0.42,0.82,0.05,0.19,0.52,0.75,0.24,0.8,0.63,0.54,0.91,0.02,0.02,0.39,0.27,0.51,0.08,0.11,0.02,0.1,0.1,0.39,0.57,0.34,0.06,0.12,0.43,0.08,0.86,0.57,0.12,0.32,0.27,0.3,0.46,0.09,0.53,0.01,0.12,0.28,0.22,0.04,0.23,0.17
NA,"URN:NBN:no-nb_digavis_vesteraalen_null_null_20221102_102_213_1","vesteraalen","Sortland","20221102","2022","da også fastslått at hun angrer på avgjørelsen om Altautbyggingen. Kanstadfjord Vestre Hinnøy reinbeitedistrikt er blant de distriktene",2022-11-02,0.75,0.55,0.79,0.63,0.54,0.42,0.41,0.12,0.52,0.21,0.76,0.46,0.1,0.85,0.59,0.71,0.82,0.74,0.43,0.59,0.85,0.48,0.38,0.82,0.16,0.59,0.88,0.84,0.74,0.69,0.74,0.78,0.83,0.21,0.22,0.6,0.6,0.4,0.26,0.12,0.45,0.15,0.12,0.38,0.66,0.42,0.59,0.46,0.56,0.29,0.77,0.73,0.36,0.71,0.68,0.6,0.66,0.2,0.65,0.07,0.6,0.72,0.29,0.1,0.21,0.18
NA,"URN:NBN:no-nb_digavis_vesteraalen_null_null_20221104_102_215_1","vesteraalen","Sortland","20221104","2022","da også fastslått at hun angrer på avgjørelsen om Altautbyggingen.» Vedtaket om utbygginga var basert på prognoser fra",2022-11-04,0.29,0.49,0.48,0.52,0.29,0.36,0.33,0.48,0.38,0.37,0.86,0.27,0.14,0.65,0.31,0.65,0.66,0.66,0.6,0.58,0.78,0.29,0.15,0.78,0.4,0.58,0.71,0.75,0.69,0.73,0.72,0.78,0.77,0.1,0.05,0.63,0.29,0.34,0.19,0.14,0.34,0.13,0.14,0.28,0.25,0.5,0.46,0.26,0.29,0.29,0.66,0.83,0.19,0.73,0.37,0.52,0.55,0.19,0.6,0.1,0.15,0.3,0.57,0.11,0.16,0.25
NA,"URN:NBN:no-nb_digavis_nationen_null_null_20220513_0_110_1","nationen","Oslo","20220513","2022","Da var det planene om å starte utbygginga av Alta-Kautokeino-vassdraget som blei møtt med aksjoner. Utover 1970-og 80-tallet var",2022-05-13,0.61,0.85,0.97,0.41,0.31,0.38,0.26,0.19,0.17,0.15,0.58,0.95,0.13,0.65,0.21,0.61,0.94,0.53,0.63,0.77,0.86,0.58,0.09,0.85,0.1,0.86,0.77,0.68,0.55,0.76,0.59,0.67,0.96,0.03,0.02,0.26,0.32,0.44,0.17,0.18,0.17,0.1,0.14,0.57,0.81,0.43,0.03,0.38,0.44,0.26,0.77,0.62,0.26,0.46,0.75,0.45,0.41,0.06,0.52,0.01,0.31,0.42,0.64,0.08,0.07,0.21
NA,"URN:NBN:no-nb_digavis_nordlys_null_null_20220211_0_35_1","nordlys","Tromsø","20220211","2022","Dagens samepolitikk er i det samme sporet som under Alta-aksjonen, og politikken er i en konstant krigsmodus der ethvert",2022-02-11,0.94,0.57,0.65,0.56,0.13,0.26,0.71,0.3,0.17,0.19,0.46,0.67,0.08,0.51,0.33,0.33,0.8,0.1,0.16,0.87,0.66,0.08,0.11,0.84,0.05,0.26,0.71,0.62,0.56,0.71,0.54,0.75,0.92,0.02,0.01,0.12,0.24,0.61,0.17,0.09,0.37,0.23,0.32,0.59,0.25,0.41,0.08,0.13,0.38,0.11,0.82,0.72,0.03,0.62,0.2,0.28,0.24,0.17,0.68,0.01,0.14,0.23,0.2,0.09,0.21,0.11
NA,"URN:NBN:no-nb_digavis_nordlys_null_null_20220211_0_35_1","nordlys","Tromsø","20220211","2022","Dagens samepolitikk er i det samme sporet som under Altaaksjonen, og politikken er i en konstant krigsmodus der ethvert",2022-02-11,0.94,0.59,0.62,0.56,0.13,0.25,0.74,0.3,0.16,0.19,0.44,0.67,0.07,0.47,0.32,0.43,0.81,0.08,0.15,0.87,0.63,0.08,0.14,0.8,0.06,0.27,0.68,0.62,0.55,0.75,0.54,0.73,0.92,0.02,0.01,0.12,0.24,0.64,0.18,0.09,0.32,0.2,0.31,0.54,0.2,0.41,0.07,0.11,0.35,0.1,0.82,0.71,0.02,0.63,0.2,0.25,0.28,0.17,0.65,0.01,0.12,0.25,0.15,0.08,0.19,0.08
NA,"URN:NBN:no-nb_digavis_friheten_null_null_20220120_82_0_1","friheten","Oslo","20220120","2022","de som kom utenbys fra. Folkeaksjonen mot utbygging av Alta-kautokeinovassdraget hadde pågått noen år med aktiv innsats både fra",2022-01-20,0.64,0.98,0.97,0.71,0.31,0.38,0.54,0.17,0.19,0.1,0.17,0.82,0.13,0.74,0.37,0.63,0.89,0.6,0.44,0.67,0.81,0.6,0.39,0.83,0.36,0.41,0.67,0.8,0.44,0.76,0.67,0.74,0.85,0.11,0.2,0.78,0.52,0.37,0.26,0.1,0.18,0.17,0.16,0.37,0.56,0.41,0.2,0.39,0.44,0.25,0.73,0.71,0.41,0.67,0.56,0.52,0.5,0.23,0.54,0.02,0.27,0.43,0.43,0.09,0.15,0.21
NA,"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221118_109_179_1","finnmarkdagblad","Hammerfest","20221118","2022","deg mer frynsete og sårbar, sier Giæver. Filmen handler om Alta-saken, en politisk konflikt på 1970-tallet, der samiske og miljøverninteresser",2022-11-18,0.83,0.61,0.26,0.15,0.11,0.27,0.48,0.09,0.06,0.03,0.19,0.23,0.03,0.17,0.14,0.19,0.31,0.02,0.1,0.76,0.72,0.83,0.49,0.58,0.04,0.34,0.59,0.97,0.16,0.91,0.77,0.41,0.89,0.01,0,0.09,0.16,0.26,0.04,0.04,0.07,0.03,0.07,0.13,0.18,0.07,0.02,0.13,0.62,0.02,0.5,0.34,0.02,0.18,0.18,0.1,0.28,0.02,0.07,0,0.02,0.16,0.05,0.03,0.09,0.04
NA,"URN:NBN:no-nb_digavis_finnmarken_null_null_20221118_124_179_1","finnmarken","Vadsø","20221118","2022","deg mer frynsete og sårbar, sier Giæver. Filmen handler om Alta-saken, en politisk konflikt på 1970-tallet, der samiske og miljøverninteresser",2022-11-18,0.83,0.61,0.26,0.15,0.11,0.27,0.48,0.09,0.06,0.03,0.19,0.23,0.03,0.17,0.14,0.19,0.31,0.02,0.1,0.76,0.72,0.83,0.49,0.58,0.04,0.34,0.59,0.97,0.16,0.91,0.77,0.41,0.89,0.01,0,0.09,0.16,0.26,0.04,0.04,0.07,0.03,0.07,0.13,0.18,0.07,0.02,0.13,0.62,0.02,0.5,0.34,0.02,0.18,0.18,0.1,0.28,0.02,0.07,0,0.02,0.16,0.05,0.03,0.09,0.04
NA,"URN:NBN:no-nb_digavis_klassekampen_null_null_20220514_54_111_1","klassekampen","Oslo","20220514","2022","deltok aktivt på flere plan som motstander av utbyggingen av Alta-Kautokeino-vassdraget, og mye godt kom ut av den tross",2022-05-14,0.44,0.96,0.77,0.55,0.22,0.25,0.58,0.23,0.14,0.07,0.39,0.59,0.09,0.34,0.15,0.6,0.6,0.21,0.3,0.56,0.77,0.4,0.17,0.56,0.06,0.57,0.6,0.48,0.22,0.81,0.51,0.23,0.52,0.1,0.16,0.71,0.4,0.36,0.07,0.08,0.19,0.08,0.09,0.21,0.45,0.02,0.17,0.21,0.4,0.1,0.73,0.54,0.73,0.21,0.68,0.37,0.64,0.12,0.31,0.02,0.32,0.28,0.5,0.03,0.08,0.11
NA,"URN:NBN:no-nb_digavis_dagensnaeringsliv_null_null_20221126_133_276_1","dagensnaeringsliv","Oslo","20221126","2022","deltok i Mardøla-aksjonen i 1970 og i kampen om Alta-Kautokeinovassdraget i 1981 og 1982. Per døde for to uker siden.",2022-11-26,0.39,0.65,0.83,0.55,0.5,0.28,0.38,0.16,0.31,0.15,0.53,0.89,0.18,0.66,0.54,0.66,0.86,0.56,0.4,0.68,0.75,0.69,0.75,0.7,0.35,0.24,0.65,0.65,0.37,0.7,0.52,0.6,0.87,0.06,0.09,0.62,0.48,0.4,0.22,0.08,0.15,0.25,0.2,0.41,0.72,0.43,0.06,0.35,0.73,0.29,0.82,0.49,0.38,0.51,0.48,0.42,0.45,0.16,0.62,0.03,0.54,0.63,0.36,0.15,0.32,0.31
NA,"URN:NBN:no-nb_digavis_nordlys_null_null_20220419_0_89_1","nordlys","Tromsø","20220419","2022","demonstrerte i Norge: Det gjorde hun også under Alta-konflikten. Hun var dessuten med på å starte Masi-gruppen i",2022-04-19,0.61,0.79,0.98,0.31,0.11,0.09,0.28,0.1,0.09,0.04,0.2,0.98,0.12,0.28,0.19,0.3,0.81,0.19,0.33,0.6,0.57,0.46,0.55,0.76,0.04,0.55,0.65,0.66,0.38,0.5,0.45,0.7,0.88,0.01,0.07,0.66,0.51,0.65,0.18,0.1,0.11,0.09,0.16,0.36,0.81,0.41,0.02,0.18,0.69,0.07,0.79,0.45,0.62,0.35,0.25,0.49,0.2,0.19,0.59,0.01,0.54,0.27,0.27,0.03,0.55,0.1
NA,"URN:NBN:no-nb_digavis_adresseavisen_null_null_20220419_256_89_1","adresseavisen","Trondheim","20220419","2022","demonstrerte i Norge: Det gjorde hun også under Alta-konflikten. Hun var dessuten med på å starte Masi-gruppeni 1978,",2022-04-19,0.54,0.73,0.96,0.31,0.11,0.08,0.24,0.07,0.07,0.04,0.2,0.97,0.12,0.21,0.2,0.31,0.77,0.13,0.38,0.59,0.59,0.51,0.55,0.74,0.05,0.58,0.64,0.62,0.28,0.51,0.34,0.61,0.88,0.01,0.08,0.68,0.49,0.6,0.18,0.1,0.08,0.09,0.12,0.3,0.79,0.38,0.02,0.18,0.66,0.08,0.75,0.38,0.55,0.3,0.3,0.5,0.17,0.13,0.55,0.01,0.54,0.23,0.26,0.04,0.57,0.11
NA,"URN:NBN:no-nb_digavis_tffolkebladet_null_null_20220419_58_89_1","tffolkebladet","Finnsnes","20220419","2022","demonstrerte i Norge: Det gjorde hun også under Alta-konflikten. Hun var Sting for Sápmi», som nylig hadde premiere på",2022-04-19,0.86,0.78,0.96,0.6,0.94,0.58,0.29,0.16,0.12,0.07,0.34,0.97,0.13,0.45,0.2,0.34,0.73,0.18,0.32,0.71,0.53,0.25,0.58,0.72,0.07,0.58,0.76,0.65,0.37,0.57,0.49,0.64,0.94,0.05,0.02,0.59,0.52,0.63,0.23,0.13,0.14,0.34,0.11,0.51,0.83,0.4,0.02,0.38,0.64,0.44,0.73,0.48,0.54,0.45,0.31,0.45,0.27,0.23,0.58,0.01,0.58,0.33,0.17,0.06,0.33,0.09
NA,"URN:NBN:no-nb_digavis_nordlys_null_null_20220224_0_46_1","nordlys","Tromsø","20220224","2022","den moderne samepolitikken har et (for) sterkt fotfeste i Altakonflikten, og at den så absolutt bidrar til konflikt. Ofte av",2022-02-24,0.9,0.77,0.57,0.68,0.28,0.5,0.72,0.35,0.33,0.23,0.62,0.54,0.13,0.69,0.58,0.66,0.83,0.27,0.36,0.81,0.77,0.23,0.59,0.79,0.16,0.6,0.79,0.67,0.61,0.92,0.65,0.72,0.91,0.03,0.02,0.27,0.35,0.66,0.27,0.14,0.32,0.34,0.19,0.36,0.38,0.47,0.14,0.4,0.26,0.18,0.68,0.76,0.06,0.7,0.29,0.27,0.38,0.14,0.6,0.01,0.19,0.47,0.16,0.14,0.42,0.21
NA,"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221118_109_179_1","finnmarkdagblad","Hammerfest","20221118","2022","denne som åpningsfilm. Det føles som en utrolig god match. Altasaken vakte nasjonale og internasjonal oppmerksomhet, og de konfliktene",2022-11-18,0.35,0.72,0.78,0.42,0.07,0.7,0.56,0.16,0.48,0.15,0.67,0.69,0.17,0.85,0.51,0.58,0.78,0.46,0.59,0.8,0.85,0.63,0.72,0.82,0.5,0.63,0.71,0.78,0.35,0.95,0.81,0.57,0.96,0.08,0.02,0.61,0.58,0.65,0.1,0.2,0.26,0.17,0.16,0.47,0.52,0.52,0.11,0.78,0.85,0.22,0.7,0.46,0.18,0.57,0.56,0.44,0.53,0.44,0.61,0.01,0.39,0.7,0.19,0.08,0.36,0.12
NA,"URN:NBN:no-nb_digavis_finnmarken_null_null_20221118_124_179_1","finnmarken","Vadsø","20221118","2022","denne som åpningsfilm. Det føles som en utrolig god match. Altasaken vakte nasjonale og internasjonal oppmerksomhet, og de konfliktene",2022-11-18,0.35,0.72,0.78,0.42,0.07,0.7,0.56,0.16,0.48,0.15,0.67,0.69,0.17,0.85,0.51,0.58,0.78,0.46,0.59,0.8,0.85,0.63,0.72,0.82,0.5,0.63,0.71,0.78,0.35,0.95,0.81,0.57,0.96,0.08,0.02,0.61,0.58,0.65,0.1,0.2,0.26,0.17,0.16,0.47,0.52,0.52,0.11,0.78,0.85,0.22,0.7,0.46,0.18,0.57,0.56,0.44,0.53,0.44,0.61,0.01,0.39,0.7,0.19,0.08,0.36,0.12
NA,"URN:NBN:no-nb_digavis_vesteraalen_null_null_20221102_102_213_1","vesteraalen","Sortland","20221102","2022","det ble gitt tillatelse til å bygge ut Altavassdraget. Når Altasaken må brukes som argument, viser dette i seg selv at",2022-11-02,0.12,0.36,0.23,0.18,0.05,0.03,0.33,0.17,0.18,0.59,0.87,0.16,0.07,0.64,0.12,0.15,0.17,0.25,0.73,0.29,0.75,0.28,0.02,0.47,0.09,0.77,0.45,0.16,0.56,0.12,0.29,0.64,0.66,0.03,0.06,0.73,0.68,0.1,0.02,0.06,0.87,0.04,0.13,0.11,0.06,0.14,0.06,0.1,0.77,0.03,0.63,0.53,0.09,0.29,0.18,0.58,0.25,0.42,0.43,0.01,0.4,0.54,0.33,0.03,0.03,0.12
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20220926_54_112_1","altaposten","Alta","20220926","2022","Det er akkurat nå manko på plasser, selv etter utbyggingen av Alta omsorgssenter. Da blir det ekstremt viktig at man",2022-09-26,0.34,0.26,0.5,0.62,0.21,0.19,0.21,0.25,0.26,0.18,0.42,0.39,0.09,0.63,0.1,0.68,0.73,0.42,0.14,0.46,0.54,0.05,0.16,0.66,0.25,0.21,0.6,0.88,0.25,0.53,0.61,0.55,0.57,0.29,0.31,0.81,0.28,0.43,0.31,0.26,0.2,0.28,0.25,0.2,0.26,0.35,0.56,0.19,0.26,0.19,0.63,0.6,0.23,0.44,0.3,0.11,0.33,0.18,0.38,0.11,0.48,0.3,0.39,0.09,0.07,0.1
NA,"URN:NBN:no-nb_digavis_nationen_null_null_20220114_0_11_1","nationen","Oslo","20220114","2022","Det er blitt mindre laks i Sautso, i skyggen av Alta-dammen. Men økt vintervannføring gjør at lakseyngelen nedover i elva",2022-01-14,0.11,0.07,0.21,0.56,0.21,0.25,0.15,0.07,0.16,0.1,0.24,0.13,0.08,0.62,0.23,0.58,0.68,0.59,0.16,0.08,0.76,0.84,0.29,0.65,0.83,0.03,0.51,0.66,0.29,0.33,0.57,0.36,0.2,0.2,0.22,0.6,0.31,0.06,0.11,0.09,0.13,0.16,0.13,0.09,0.25,0.19,0.59,0.14,0.3,0.18,0.72,0.56,0.25,0.38,0.09,0.12,0.3,0.08,0.42,0.03,0.32,0.17,0.11,0.03,0.03,0.03
NA,"URN:NBN:no-nb_digavis_nordlys_null_null_20220210_0_34_1","nordlys","Tromsø","20220210","2022","Det er en svært stor endring. Og sultestreikaksjonene og Altasaken bidro selvfølgelig til denne revolusjonen.» Sitatet er hentet",2022-02-10,0.28,0.76,0.92,0.37,0.13,0.16,0.24,0.26,0.23,0.07,0.29,0.92,0.07,0.25,0.17,0.31,0.53,0.23,0.07,0.42,0.28,0.15,0.4,0.53,0.14,0.32,0.53,0.77,0.23,0.49,0.62,0.55,0.8,0.11,0.03,0.64,0.5,0.77,0.98,0.04,0.17,0.31,0.23,0.34,0.68,0.15,0.12,0.14,0.82,0.13,0.79,0.29,0.35,0.29,0.37,0.17,0.42,0.1,0.21,0.06,0.4,0.19,0.5,0.06,0.39,0.13
NA,"URN:NBN:no-nb_digavis_nordlys_null_null_20220729_0_173_1","nordlys","Tromsø","20220729","2022","Det er nemlig en ting utredningene om kraftverk på Alta-Kautokeino vassdraget aldri ble: felt i Høyesterett. er det egne og",2022-07-29,0.39,0.43,0.32,0.54,0.16,0.13,0.35,0.09,0.82,0.12,0.51,0.26,0.05,0.85,0.13,0.85,0.53,0.41,0.72,0.45,0.63,0.29,0.57,0.54,0.12,0.53,0.65,0.66,0.52,0.57,0.55,0.51,0.56,0.12,0.11,0.27,0.2,0.25,0.1,0.09,0.21,0.13,0.16,0.22,0.23,0.31,0.3,0.22,0.48,0.13,0.64,0.6,0.11,0.86,0.41,0.29,0.41,0.3,0.41,0.05,0.18,0.91,0.3,0.12,0.17,0.34
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20221012_54_119_1","altaposten","Alta","20221012","2022","det flerkulturelle og urbefolkningen, Altalaksen, utbyggingen av Alta-Kautokeinovassdraget, Altas betydning som markedsplass i et historisk",2022-10-12,0.14,0.14,0.13,0.21,0.03,0.03,0.01,0.01,0.01,0,0,0.04,0,0.03,0.04,0.13,0.12,0.17,0.04,0.09,0.08,0.02,0.02,0.2,0.12,0.26,0.21,0.21,0.02,0.12,0.2,0.03,0.12,0.01,0.01,0.71,0.18,0.03,0.01,0,0.03,0.01,0.02,0,0.02,0.01,0.02,0.02,0.96,0.04,0.28,0.02,0.02,0.01,0.04,0.01,0.04,0,0.01,0,0.04,0.02,0,0,0.02,0.01
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20221012_54_119_1","altaposten","Alta","20221012","2022","det flerkulturelle og urbefolkningen, Altalaksen, utbyggingen av Alta-Kautokeinovassdraget, Altas betydning som markedsplass i et historisk perspektiv",2022-10-12,0.13,0.12,0.12,0.14,0.03,0.02,0.01,0.01,0.01,0,0,0.03,0,0.03,0.04,0.13,0.11,0.21,0.03,0.07,0.07,0.02,0.02,0.18,0.12,0.22,0.2,0.21,0.02,0.11,0.17,0.02,0.09,0.01,0.01,0.71,0.13,0.02,0.01,0,0.03,0,0.02,0,0.02,0.01,0.02,0.01,0.96,0.04,0.21,0.02,0.02,0.01,0.04,0.01,0.03,0,0.01,0,0.03,0.02,0,0,0.01,0.01
NA,"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221214_109_193_1","finnmarkdagblad","Hammerfest","20221214","2022","det første møtet var i 1970 i motstanden mot utbyggingen av Alta-og Kautokeinovassdraget – en påminning på at det",2022-12-14,0.5,0.98,0.78,0.88,0.12,0.13,0.27,0.1,0.13,0.03,0.22,0.57,0.07,0.39,0.1,0.32,0.55,0.17,0.24,0.47,0.54,0.13,0.13,0.57,0.08,0.4,0.47,0.57,0.31,0.7,0.39,0.5,0.85,0.04,0.03,0.49,0.43,0.2,0.07,0.03,0.2,0.04,0.09,0.32,0.45,0.26,0.13,0.16,0.81,0.11,0.92,0.42,0.2,0.28,0.53,0.41,0.52,0.08,0.29,0.01,0.27,0.31,0.2,0.02,0.06,0.05
NA,"URN:NBN:no-nb_digavis_avisahemnes_null_null_20220818_11_29_1","avisahemnes","Korgen","20220818","2022","det opplevde vi i samtaler med samer som fortalte om Altautbyggingen og kampen mot denne. Vi snakket med de som satt",2022-08-18,0.91,0.98,0.91,0.19,0.09,0.05,0.4,0.1,0.1,0.03,0.09,0.53,0.02,0.41,0.13,0.23,0.65,0.18,0.24,0.89,0.45,0.18,0.1,0.92,0.07,0.57,0.7,0.79,0.5,0.94,0.7,0.77,0.93,0.03,0.01,0.27,0.46,0.3,0.11,0.02,0.13,0.05,0.03,0.45,0.63,0.29,0.08,0.22,0.63,0.02,0.79,0.74,0.24,0.54,0.72,0.8,0.51,0.05,0.32,0.01,0.2,0.57,0.05,0.02,0.2,0.03
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20221114_54_133_1","altaposten","Alta","20221114","2022","Det var ikke omkostningsfritt å være en del av Folkeaksjonen mot utbyggingen. Han ble dømt for brudd på oppviglerparagrafen. Dro",2022-11-14,0.22,0.81,0.94,0.71,0.47,0.3,0.86,0.17,0.87,0.16,0.62,0.92,0.32,0.93,0.62,0.69,0.87,0.47,0.25,0.45,0.64,0.4,0.28,0.61,0.13,0.4,0.65,0.71,0.75,0.88,0.74,0.88,0.92,0.11,0.05,0.54,0.27,0.52,0.26,0.22,0.38,0.22,0.54,0.86,0.83,0.87,0.17,0.53,0.4,0.18,0.72,0.84,0.22,0.75,0.69,0.51,0.65,0.34,0.73,0.07,0.22,0.96,0.52,0.62,0.43,0.42
NA,"URN:NBN:no-nb_digavis_nationen_null_null_20221001_0_228_1","nationen","Oslo","20221001","2022","det, det burde ikke sier sametingspresi- også linjene til- Alta-saken rundt 1980, utbygging av Alta-Kautokeino- forhindret aksjo- demon-",2022-10-01,0.38,0.27,0.55,0.18,0.11,0.12,0.39,0.15,0.17,0.21,0.56,0.56,0.07,0.75,0.18,0.36,0.56,0.26,0.32,0.58,0.41,0.18,0.03,0.78,0.06,0.89,0.51,0.54,0.6,0.61,0.61,0.57,0.65,0.06,0.11,0.54,0.32,0.28,0.12,0.08,0.47,0.09,0.04,0.46,0.33,0.44,0.56,0.23,0.66,0.08,0.6,0.62,0.1,0.64,0.3,0.55,0.54,0.11,0.4,0.02,0.2,0.33,0.34,0.03,0.07,0.56
NA,"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221215_109_194_1","finnmarkdagblad","Hammerfest","20221215","2022","Dette skal ha skjedd om morgenen 17. august i Alta. Saken havnet i retten i november, og nå foreligger det",2022-12-15,0.35,0.33,0.33,0.57,0.18,0.13,0.11,0.1,0.84,0.02,0.22,0.4,0.22,0.93,0.3,0.5,0.75,0.28,0.21,0.49,0.41,0.06,0.24,0.55,0.48,0.15,0.52,0.67,0.39,0.4,0.39,0.49,0.69,0.15,0.16,0.52,0.41,0.52,0.08,0.25,0.04,0.18,0.52,0.18,0.31,0.3,0.22,0.17,0.55,0.09,0.81,0.7,0.15,0.5,0.17,0.3,0.3,0.45,0.35,0.04,0.27,0.98,0.21,0.04,0.13,0.09
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20220525_54_60_1","altaposten","Alta","20220525","2022","dette unna greit, humrer Kålberg som sikter til Alta-Kautokeino vassdraget. Han forteller at gult farevarsel sendes ut når",2022-05-25,0.17,0.38,0.23,0.2,0.1,0.03,0.03,0.05,0.06,0.04,0.23,0.19,0.01,0.31,0.07,0.33,0.44,0.28,0.32,0.19,0.52,0.59,0.65,0.65,0.74,0.3,0.42,0.62,0.45,0.18,0.22,0.13,0.18,0.07,0.2,0.39,0.19,0.08,0.02,0.02,0.1,0.04,0.08,0.15,0.16,0.3,0.41,0.1,0.32,0.05,0.52,0.27,0.2,0.37,0.31,0.22,0.49,0.15,0.1,0.03,0.13,0.11,0.02,0.03,0.14,0.07
NA,"URN:NBN:no-nb_digavis_rogalandsavis_null_null_20221111_120_263_1","rogalandsavis","Stavanger","20221111","2022","draget. Mattis Hætta deltok selv i demonstrasjonene mot Alta-utbyggingen. Det var Kjelsberg som inviterte Hætta til å joike",2022-11-11,0.74,0.93,0.91,0.6,0.3,0.22,0.46,0.11,0.18,0.1,0.44,0.97,0.1,0.55,0.47,0.57,0.8,0.5,0.21,0.52,0.72,0.51,0.67,0.73,0.16,0.51,0.69,0.63,0.55,0.68,0.56,0.62,0.82,0.24,0.24,0.62,0.63,0.48,0.19,0.1,0.25,0.11,0.17,0.42,0.75,0.41,0.18,0.42,0.59,0.83,0.78,0.6,0.53,0.56,0.6,0.66,0.64,0.15,0.6,0.01,0.49,0.26,0.2,0.09,0.17,0.24
