"dhlabid","urn","title","city","timestamp","year","conc","date","samesaken","Alta.samfunnet.er.i.mot.utbygging","protestbevegelse","at.et.møte.blir.arrangert","tv.program","produksjon.av.film","partipolitikk","kommunestyret","domstoler","regjeringen","myndigheter","demonstranter","politiet","saksbehandling.og.juridiske.prosesser","bygging.av.vei.og.anleggsvirksomhet","undersøkelser.og.utredning","arrestasjoner.og.bruk.av.tvangsmidler","økonomisk.og.næringsmessig.nytte","må.ha.kraft.og.strøm","konflikt.mellom.samer.og.nordmenn","rettigheter.til.land.og.ressurser","natur.og.miljø","vern.av.vassdrag","trussel.mot.samisk.kultur.og.næring","trussel.mot.laksefiske","Alta.kautokeinovassdraget.bør.bygges.ut","samiske.særrettigheter","utsatt.og.usikkerhet","unødvendig","splittelse.og.uenighet","vanskelig.å.snakke.om","urettferdig","opprivende","forsoning","samhold.og.enighet","handlekraft.og.beslutninger","tydelig.og.bestemtrettsak","leiren.i.Stilla","sultestreik","politiaksjonen","stortingets.vedtak","opprettelsen.av.Sametinget","Finnmarksloven","udemokratiske.protester","sivil.ulydighet","demonstrantene.opptrer.dårlig","ikke.voldelige","mediedekning","historisk.betydning","kunst.og.kultur","husker.eller.minnes","feilinformasjon","Konstruktiv.sivil.ulydighet","Manglende.utredning.om.konsekvenser","skeptisk.kraftprognose.motstand","meningsløs.kraftutbygging","Skeptisk.til.ulydighet","lov.og.orden","overdrevet.maktbruk.av.myndigheter.og.politi","fredelige.demonstranter","tydelig.og.bestemt","rettsak","arbeiderpartiet","gasskraftverk","neddemming.av.Masi","Kraftlinjer"
NA,"URN:NBN:no-nb_digavis_dagbladet_null_null_20191009_151_234_1","dagbladet","Oslo","20191009","2019","etniske bevisstgjøringen som skjedde etter utbyggingen av alta-kautokeinovassdraget. Foto: ole Åsheim Dette er en type kryssord som",2019-10-09,0.79,0.48,0.72,0.43,0.14,0.12,0.15,0.2,0.18,0.11,0.18,0.47,0.1,0.44,0.24,0.52,0.52,0.09,0.31,0.74,0.47,0.1,0.1,0.69,0.19,0.32,0.77,0.69,0.61,0.72,0.84,0.71,0.78,0.13,0.06,0.33,0.33,0.3,0.12,0.13,0.45,0.16,0.19,0.42,0.27,0.35,0.39,0.32,0.56,0.07,0.76,0.73,0.31,0.46,0.29,0.53,0.53,0.06,0.3,0.06,0.17,0.38,0.25,0.07,0.16,0.18
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20191209_51_142_1","altaposten","Alta","20191209","2019","etter manges mening en rettslig farse allerede i utgangspunktet. –Altasaken har fulgt meg siden jeg var ei lita jente. 09.12.2019",2019-12-09,0.22,0.65,0.57,0.68,0.21,0.23,0.28,0.53,0.88,0.18,0.61,0.65,0.57,0.95,0.55,0.62,0.85,0.21,0.56,0.74,0.73,0.24,0.69,0.72,0.62,0.65,0.64,0.67,0.74,0.65,0.73,0.87,0.85,0.12,0.05,0.43,0.15,0.75,0.14,0.64,0.58,0.45,0.61,0.48,0.55,0.65,0.28,0.56,0.65,0.06,0.73,0.74,0.1,0.74,0.4,0.71,0.52,0.47,0.8,0.03,0.08,0.95,0.28,0.05,0.46,0.19
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20190121_51_9_1","altaposten","Alta","20190121","2019","Even Martinsen. (Arkivfoto: Arne Hauge) den nye serien om Alta-aksjonen som startet fredag. Hun tror mange unge ikke vet",2019-01-21,0.13,0.73,0.84,0.19,0.87,0.39,0.17,0.06,0.14,0.03,0.29,0.85,0.05,0.57,0.17,0.38,0.81,0.34,0.25,0.46,0.58,0.25,0.23,0.69,0.07,0.23,0.53,0.83,0.53,0.54,0.67,0.65,0.9,0.02,0.03,0.52,0.42,0.63,0.09,0.06,0.09,0.08,0.14,0.65,0.64,0.39,0.15,0.57,0.65,0.1,0.68,0.7,0.16,0.65,0.32,0.36,0.57,0.07,0.62,0.02,0.26,0.29,0.09,0.05,0.23,0.04
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20190118_51_8_1","altaposten","Alta","20190118","2019","Få med deg første del av Altapostens nye serie om Alta-aksjonen. Side 21-24 UM J ten igq %y Oppvokst med ADHD",2019-01-18,0.21,0.62,0.8,0.61,0.48,0.44,0.28,0.2,0.31,0.12,0.35,0.74,0.16,0.72,0.38,0.64,0.71,0.66,0.26,0.41,0.64,0.19,0.28,0.66,0.21,0.22,0.5,0.76,0.53,0.68,0.65,0.65,0.72,0.11,0.11,0.6,0.3,0.61,0.33,0.12,0.23,0.26,0.18,0.65,0.71,0.48,0.39,0.59,0.49,0.26,0.6,0.66,0.29,0.63,0.42,0.48,0.57,0.13,0.6,0.07,0.22,0.32,0.16,0.13,0.18,0.19
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20190118_51_8_1","altaposten","Alta","20190118","2019","Få med deg første del av Altapostens nye serie om Alta-aksjonen. Side 21-24 www.altaposten.no – Tipstelefon 78 45 67 00",2019-01-18,0.12,0.66,0.94,0.53,0.3,0.21,0.26,0.18,0.2,0.07,0.4,0.79,0.2,0.59,0.39,0.42,0.82,0.58,0.28,0.36,0.67,0.2,0.25,0.65,0.27,0.24,0.53,0.66,0.44,0.56,0.61,0.64,0.87,0.08,0.12,0.71,0.58,0.46,0.12,0.13,0.13,0.15,0.15,0.64,0.68,0.45,0.26,0.61,0.61,0.17,0.71,0.63,0.34,0.74,0.3,0.33,0.51,0.14,0.71,0.05,0.36,0.24,0.25,0.12,0.11,0.21
NA,"URN:NBN:no-nb_digavis_kvinnheringen_null_null_20190508_47_52_1","kvinnheringen","Husnes","20190508","2019","Facebook. I distrikts­Norge må motstanden bli så stor, at Alta­saka blir som ein mild bris. For det er bygdene, kysten,",2019-05-08,0.29,0.8,0.89,0.65,0.15,0.16,0.46,0.28,0.17,0.1,0.2,0.67,0.09,0.58,0.39,0.5,0.73,0.24,0.37,0.58,0.63,0.24,0.48,0.71,0.32,0.53,0.61,0.79,0.55,0.93,0.75,0.71,0.56,0.12,0.02,0.31,0.15,0.46,0.18,0.12,0.17,0.19,0.3,0.65,0.52,0.56,0.38,0.57,0.28,0.16,0.6,0.71,0.25,0.63,0.55,0.46,0.63,0.11,0.54,0.04,0.14,0.23,0.25,0.11,0.29,0.14
NA,"URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20190917_145_215_1","faedrelandsvennen","Kristiansand","20190917","2019","faller historisk mye. ● Norsk historie: ● 1979 – Alta-aksjonen: I Stilla blir 80 demonstranter fjernet med makt og",2019-09-17,0.18,0.72,0.92,0.17,0.08,0.1,0.17,0.07,0.1,0.06,0.22,0.96,0.17,0.5,0.22,0.21,0.97,0.11,0.24,0.66,0.58,0.41,0.32,0.69,0.07,0.39,0.44,0.59,0.36,0.59,0.4,0.54,0.85,0.02,0.01,0.7,0.49,0.88,0.1,0.25,0.09,0.08,0.08,0.68,0.58,0.64,0.02,0.26,0.96,0.04,0.62,0.43,0.06,0.45,0.37,0.47,0.26,0.22,0.71,0.01,0.36,0.23,0.36,0.02,0.31,0.18
NA,"URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20190917_145_215_1","faedrelandsvennen","Kristiansand","20190917","2019","faller historisk mye. ● Norsk historie: ● 1979 – Alta-aksjonen: I Stilla blir 80 demonstranter fjernet med makt og ilagt",2019-09-17,0.14,0.69,0.91,0.18,0.1,0.1,0.18,0.08,0.32,0.04,0.24,0.97,0.15,0.72,0.21,0.18,0.98,0.16,0.18,0.58,0.47,0.29,0.27,0.64,0.1,0.27,0.56,0.6,0.34,0.56,0.38,0.54,0.82,0.02,0.01,0.61,0.46,0.91,0.13,0.25,0.1,0.03,0.1,0.63,0.62,0.59,0.01,0.23,0.96,0.04,0.59,0.44,0.06,0.43,0.31,0.41,0.26,0.24,0.69,0.01,0.28,0.68,0.29,0.04,0.34,0.15
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20191127_51_137_1","altaposten","Alta","20191127","2019","får også kjøpt boken hos 3 DES KL. 20:00 . . –Altasaken har fulgt meg siden jeg var ei lita jente. STANDUPa",2019-11-27,0.19,0.57,0.64,0.68,0.33,0.17,0.65,0.47,0.53,0.18,0.59,0.63,0.28,0.83,0.66,0.68,0.79,0.66,0.42,0.6,0.68,0.4,0.66,0.76,0.54,0.62,0.68,0.82,0.51,0.77,0.74,0.79,0.9,0.22,0.28,0.76,0.6,0.68,0.13,0.43,0.44,0.52,0.61,0.54,0.54,0.4,0.48,0.64,0.63,0.49,0.81,0.68,0.34,0.67,0.43,0.48,0.56,0.51,0.63,0.09,0.5,0.75,0.2,0.09,0.26,0.14
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","altaposten","Alta","20190322","2019","FD-journalist Svein Jørstad fikk kritikk for sin rolle under Alta-saken Side 20-24 Side 2-3 0 n I en ny Helse Nord-rapport",2019-03-22,0.13,0.54,0.54,0.68,0.37,0.35,0.3,0.21,0.15,0.18,0.65,0.43,0.11,0.72,0.28,0.77,0.77,0.63,0.26,0.58,0.6,0.18,0.23,0.65,0.23,0.38,0.64,0.79,0.47,0.75,0.65,0.61,0.72,0.17,0.28,0.62,0.37,0.55,0.21,0.2,0.22,0.2,0.29,0.27,0.45,0.48,0.5,0.78,0.46,0.22,0.73,0.63,0.28,0.6,0.21,0.33,0.49,0.28,0.71,0.17,0.51,0.42,0.22,0.12,0.18,0.13
NA,"URN:NBN:no-nb_digavis_gudbrandsdolendagnin_null_null_20190226_182_48_1","gudbrandsdolendagnin","Lillehammer","20190226","2019","februar 1982 staten medhold på alle sentrale punkter i Alta-saken, og nå ble det satt sluttstrek i den langvarige kampen",2019-02-26,0.12,0.62,0.68,0.62,0.27,0.41,0.4,0.1,0.67,0.81,0.84,0.56,0.19,0.89,0.27,0.57,0.69,0.34,0.29,0.73,0.81,0.53,0.72,0.69,0.17,0.69,0.65,0.57,0.31,0.5,0.53,0.52,0.87,0.19,0.1,0.8,0.59,0.53,0.19,0.23,0.52,0.08,0.1,0.23,0.41,0.27,0.18,0.31,0.69,0.28,0.75,0.64,0.28,0.38,0.27,0.37,0.33,0.48,0.5,0.02,0.32,0.9,0.22,0.03,0.4,0.1
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20191122_51_135_1","altaposten","Alta","20191122","2019","fikk fortelle sin historie, sier journalist Hanne Larsen. –Altasaken har fulgt meg siden jeg var ei lita jente. 13 ANNONSER",2019-11-22,0.13,0.64,0.73,0.61,0.44,0.49,0.37,0.35,0.49,0.08,0.51,0.64,0.2,0.8,0.56,0.65,0.81,0.65,0.35,0.66,0.65,0.31,0.6,0.68,0.5,0.52,0.61,0.83,0.54,0.69,0.77,0.76,0.91,0.27,0.28,0.7,0.55,0.74,0.16,0.44,0.27,0.34,0.55,0.49,0.6,0.39,0.43,0.75,0.84,0.17,0.86,0.55,0.38,0.65,0.44,0.5,0.59,0.28,0.68,0.14,0.49,0.65,0.19,0.08,0.29,0.15
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20191104_51_127_1","altaposten","Alta","20191104","2019","fikk fortelle sin historie, sier journalist Hanne Larsen. –Altasaken har fulgt meg siden jeg var ei lita jente. Annonse",2019-11-04,0.14,0.62,0.74,0.63,0.27,0.35,0.39,0.38,0.49,0.08,0.48,0.67,0.2,0.76,0.56,0.63,0.78,0.59,0.36,0.67,0.61,0.27,0.61,0.69,0.5,0.52,0.6,0.8,0.59,0.69,0.79,0.78,0.93,0.28,0.22,0.7,0.52,0.72,0.15,0.44,0.25,0.35,0.51,0.5,0.61,0.41,0.45,0.72,0.85,0.16,0.88,0.58,0.41,0.64,0.42,0.55,0.56,0.3,0.69,0.13,0.52,0.68,0.18,0.06,0.31,0.13
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20191118_51_133_1","altaposten","Alta","20191118","2019","fikk fortelle sin historie, sier journalist Hanne Larsen. –Altasaken har fulgt meg siden jeg var ei lita jente. Annonse",2019-11-18,0.14,0.62,0.74,0.63,0.27,0.35,0.39,0.38,0.49,0.08,0.48,0.67,0.2,0.76,0.56,0.63,0.78,0.59,0.36,0.67,0.61,0.27,0.61,0.69,0.5,0.52,0.6,0.8,0.59,0.69,0.79,0.78,0.93,0.28,0.22,0.7,0.52,0.72,0.15,0.44,0.25,0.35,0.51,0.5,0.61,0.41,0.45,0.72,0.85,0.16,0.88,0.58,0.41,0.64,0.42,0.55,0.56,0.3,0.69,0.13,0.52,0.68,0.18,0.06,0.31,0.13
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20191023_51_122_1","altaposten","Alta","20191023","2019","fikk fortelle sin historie, sier journalist Hanne Larsen. –Altasaken har fulgt meg siden jeg var ei lita jente. ke",2019-10-23,0.11,0.62,0.7,0.57,0.23,0.22,0.27,0.3,0.51,0.05,0.41,0.64,0.18,0.77,0.56,0.59,0.8,0.54,0.39,0.66,0.65,0.32,0.6,0.74,0.43,0.49,0.55,0.81,0.54,0.69,0.78,0.78,0.94,0.24,0.19,0.69,0.51,0.72,0.1,0.24,0.25,0.2,0.35,0.5,0.57,0.38,0.25,0.63,0.86,0.1,0.84,0.58,0.27,0.66,0.39,0.56,0.51,0.24,0.69,0.1,0.44,0.65,0.11,0.04,0.29,0.07
NA,"URN:NBN:no-nb_digavis_sagat_null_null_20190215_63_32_1","sagat","Lakselv","20190215","2019","finnes overalt. Når har vi tatt nok, 40 år etter Alta-utbyggingen? /EB, •• 'Mi'Lv /røt < Jtiŧ..",2019-02-15,0.5,0.45,0.71,0.61,0.47,0.45,0.34,0.35,0.48,0.26,0.51,0.61,0.37,0.61,0.5,0.71,0.78,0.41,0.63,0.52,0.75,0.47,0.26,0.8,0.65,0.27,0.67,0.85,0.69,0.57,0.55,0.67,0.68,0.19,0.2,0.8,0.52,0.46,0.35,0.25,0.43,0.48,0.46,0.38,0.54,0.41,0.37,0.5,0.67,0.36,0.7,0.73,0.27,0.57,0.38,0.66,0.51,0.21,0.54,0.09,0.35,0.31,0.37,0.35,0.43,0.34
NA,"URN:NBN:no-nb_digavis_harstadtidende_null_null_20190128_133_23_1","harstadtidende","Harstad","20190128","2019","finnes overalt. Når har vi tatt nok, 40 år etter Alta-utbyggingen? Ælskast £vindmøllene\ 1 AU ferdsel i området skjer 1.",2019-01-28,0.28,0.38,0.6,0.42,0.24,0.2,0.24,0.17,0.13,0.17,0.26,0.38,0.11,0.55,0.39,0.59,0.59,0.57,0.69,0.31,0.79,0.55,0.12,0.86,0.21,0.18,0.59,0.81,0.6,0.5,0.56,0.63,0.56,0.14,0.13,0.6,0.54,0.22,0.19,0.11,0.33,0.31,0.35,0.22,0.32,0.32,0.29,0.38,0.52,0.14,0.57,0.66,0.18,0.57,0.17,0.61,0.28,0.22,0.39,0.05,0.32,0.19,0.17,0.06,0.12,0.51
NA,"URN:NBN:no-nb_digavis_norgeidag_null_null_20190222_20_8_1","norgeidag","Bergen","20190222","2019","finnes overalt. Når har vi tatt nok, 40 år etter Alta-utbyggingen? gedigent festmåltid (bryllupsmåltid) i Jerusalem for mennesker av",2019-02-22,0.15,0.27,0.26,0.17,0.12,0.11,0.06,0.04,0.08,0.04,0.14,0.06,0.04,0.53,0.12,0.52,0.54,0.36,0.23,0.04,0.31,0.03,0.22,0.26,0.08,0.16,0.27,0.71,0.26,0.08,0.19,0.24,0.11,0.26,0.33,0.77,0.25,0.1,0.02,0.06,0.19,0.09,0.11,0.06,0.14,0.1,0.26,0.28,0.53,0.19,0.58,0.42,0.17,0.36,0.14,0.5,0.22,0.05,0.18,0.01,0.27,0.05,0.09,0.07,0.09,0.05
NA,"URN:NBN:no-nb_digavis_fjordenestidende_null_null_20190129_109_8_1","fjordenestidende","Måløy","20190129","2019","finnes overalt. Når har vi tatt nok, 40 år etter Alta-utbyggingen? KJETIL AA. SOLBAKKEN generalsekretær, Norsk Ornitologisk Forening",2019-01-29,0.22,0.36,0.64,0.55,0.19,0.3,0.15,0.15,0.19,0.11,0.22,0.25,0.07,0.55,0.32,0.65,0.74,0.31,0.19,0.26,0.67,0.54,0.24,0.53,0.11,0.15,0.55,0.72,0.63,0.48,0.52,0.63,0.56,0.11,0.23,0.78,0.27,0.27,0.2,0.16,0.21,0.21,0.18,0.23,0.35,0.23,0.39,0.29,0.5,0.2,0.66,0.58,0.17,0.51,0.24,0.41,0.45,0.16,0.47,0.05,0.32,0.23,0.14,0.1,0.2,0.13
NA,"URN:NBN:no-nb_digavis_lofottidende_null_null_20190214_32_7_1","lofottidende","Leknes","20190214","2019","finnes overalt. Når har vi tatt nok, 40 år etter Alta-utbyggingen? Lofot-tidende foto: \kArin p. skArBy Vi har ferdig cape",2019-02-14,0.36,0.4,0.63,0.66,0.52,0.5,0.2,0.31,0.33,0.18,0.5,0.43,0.29,0.59,0.47,0.63,0.77,0.51,0.46,0.43,0.83,0.28,0.26,0.72,0.58,0.24,0.61,0.69,0.59,0.42,0.49,0.62,0.5,0.22,0.23,0.7,0.45,0.4,0.26,0.31,0.26,0.49,0.42,0.23,0.38,0.34,0.43,0.6,0.58,0.23,0.65,0.62,0.22,0.57,0.28,0.49,0.45,0.21,0.56,0.09,0.27,0.35,0.26,0.19,0.21,0.25
NA,"URN:NBN:no-nb_digavis_glaamdalen_null_null_20190208_135_33_1","glaamdalen","Kongsvinger","20190208","2019","finnes overalt. Når har vi tatt nok, 40 år etter Alta-utbyggingen? martin eggen naturvernrådgiver Norsk Ornitologisk Forening kjetil",2019-02-08,0.28,0.37,0.59,0.63,0.23,0.37,0.16,0.19,0.19,0.15,0.29,0.54,0.1,0.58,0.39,0.61,0.72,0.22,0.28,0.45,0.71,0.84,0.38,0.69,0.19,0.2,0.57,0.7,0.6,0.6,0.61,0.66,0.6,0.15,0.28,0.67,0.28,0.29,0.23,0.17,0.23,0.35,0.26,0.37,0.48,0.48,0.41,0.36,0.54,0.17,0.64,0.71,0.24,0.57,0.3,0.5,0.5,0.17,0.56,0.11,0.34,0.24,0.19,0.16,0.2,0.2
NA,"URN:NBN:no-nb_digavis_lokalavisatrysilengerdal_null_null_20190207_15_6_1","lokalavisatrysilengerdal","Trysil","20190207","2019","finnes overalt. Når har vi tatt nok, 40 år etter Alta-utbyggingen? Martin Eggen naturvernrådgiver og Kjetil Aa. Solbakken",2019-02-07,0.22,0.37,0.6,0.53,0.16,0.2,0.09,0.12,0.15,0.11,0.27,0.24,0.06,0.22,0.2,0.58,0.65,0.12,0.24,0.23,0.77,0.89,0.47,0.58,0.27,0.16,0.48,0.73,0.58,0.43,0.5,0.57,0.48,0.1,0.16,0.75,0.25,0.25,0.16,0.1,0.17,0.2,0.16,0.16,0.22,0.21,0.33,0.17,0.49,0.14,0.59,0.53,0.16,0.45,0.18,0.35,0.45,0.12,0.4,0.04,0.24,0.16,0.1,0.09,0.19,0.15
NA,"URN:NBN:no-nb_digavis_byavisadrammen_null_null_20190522_11_20_1","byavisadrammen","Drammen","20190522","2019","finnes overalt. Når har vi tatt nok, 40 år etter Alta-utbyggingen? Seks karakterer i norsk på vitnemålet er for mye, og",2019-05-22,0.23,0.38,0.56,0.31,0.25,0.16,0.16,0.18,0.19,0.14,0.46,0.39,0.15,0.39,0.24,0.54,0.56,0.16,0.15,0.29,0.47,0.13,0.26,0.44,0.16,0.18,0.26,0.7,0.78,0.44,0.4,0.73,0.55,0.15,0.06,0.53,0.19,0.3,0.12,0.13,0.24,0.22,0.2,0.11,0.37,0.25,0.34,0.15,0.48,0.15,0.49,0.54,0.12,0.44,0.2,0.56,0.46,0.11,0.33,0.03,0.17,0.18,0.27,0.1,0.2,0.15
NA,"URN:NBN:no-nb_digavis_nordlys_null_null_20190128_0_0_1","nordlys","Tromsø","20190128","2019","finnes overalt. Når har vi tatt nok, 40 år etter Alta-utbyggingen? Tilbake i Davos beskyldes eliten for snikksnakk og",2019-01-28,0.23,0.27,0.28,0.63,0.23,0.17,0.24,0.12,0.14,0.11,0.5,0.17,0.05,0.33,0.19,0.43,0.59,0.22,0.12,0.2,0.35,0.06,0.21,0.3,0.1,0.15,0.31,0.66,0.58,0.35,0.53,0.6,0.48,0.08,0.05,0.51,0.05,0.17,0.09,0.07,0.15,0.17,0.14,0.13,0.13,0.24,0.2,0.18,0.4,0.06,0.54,0.73,0.05,0.54,0.19,0.56,0.31,0.06,0.18,0.01,0.09,0.13,0.2,0.09,0.1,0.12
NA,"URN:NBN:no-nb_digavis_mossavis_null_null_20190130_143_25_1","mossavis","Moss","20190130","2019","finnes overalt. Når har vi tatt nok, 40 år etter Alta-utbyggingen? TIPs Oss: politikk@moss-avis.no Vi dekker politikken i",2019-01-30,0.4,0.43,0.66,0.6,0.26,0.41,0.78,0.43,0.2,0.53,0.71,0.5,0.32,0.42,0.3,0.64,0.82,0.28,0.3,0.36,0.48,0.09,0.35,0.57,0.28,0.24,0.6,0.72,0.62,0.67,0.41,0.63,0.64,0.18,0.17,0.76,0.27,0.48,0.25,0.32,0.36,0.42,0.29,0.26,0.43,0.34,0.32,0.61,0.52,0.09,0.67,0.58,0.18,0.67,0.24,0.51,0.39,0.37,0.71,0.07,0.31,0.26,0.41,0.22,0.31,0.23
NA,"URN:NBN:no-nb_digavis_nordlys_null_null_20190128_0_0_1","nordlys","Tromsø","20190128","2019","finnes overalt. Når har vi tatt nok, 40 år etter Alta-utbyggingen? VERDENS ØKONOMISKE FORUM Jan-Gunnar Winther Direktør Ida Folkestad",2019-01-28,0.35,0.36,0.61,0.81,0.23,0.25,0.04,0.14,0.18,0.17,0.24,0.38,0.18,0.39,0.36,0.6,0.74,0.73,0.36,0.28,0.58,0.15,0.25,0.58,0.27,0.2,0.5,0.75,0.67,0.46,0.47,0.61,0.53,0.19,0.25,0.81,0.29,0.35,0.23,0.22,0.2,0.39,0.26,0.19,0.38,0.32,0.51,0.34,0.49,0.11,0.58,0.56,0.24,0.49,0.22,0.45,0.42,0.18,0.56,0.07,0.32,0.24,0.17,0.14,0.17,0.17
NA,"URN:NBN:no-nb_digavis_hamararbeiderblad_null_null_20190206_94_31_1","hamararbeiderblad","Hamar","20190206","2019","finnes overalt. Når har vi tatt nok, 40 år etter Altautbyggingen? I MORGEN Toril Hofshagen: Rent vann - vår fremtid",2019-02-06,0.12,0.21,0.5,0.55,0.32,0.15,0.12,0.1,0.13,0.08,0.19,0.21,0.07,0.28,0.08,0.59,0.54,0.22,0.01,0.16,0.11,0.65,0.19,0.18,0.05,0.12,0.35,0.7,0.32,0.3,0.3,0.28,0.22,0.13,0.23,0.74,0.27,0.16,0.14,0.12,0.13,0.14,0.13,0.11,0.22,0.17,0.37,0.31,0.4,0.09,0.39,0.39,0.22,0.39,0.12,0.17,0.27,0.1,0.49,0.09,0.31,0.14,0.12,0.03,0.07,0.03
NA,"URN:NBN:no-nb_digavis_lofotposten_null_null_20190130_124_25_1","lofotposten","Svolvær","20190130","2019","finnes overalt. Når har vi tatt nok, 40 år etter Altautbyggingen? oppdrettsanlegg blant kystens folk. Miljøpartiet De Grønne",2019-01-30,0.13,0.4,0.58,0.51,0.17,0.12,0.79,0.15,0.13,0.09,0.29,0.38,0.07,0.41,0.13,0.56,0.59,0.67,0.2,0.25,0.76,0.81,0.13,0.75,0.63,0.18,0.32,0.69,0.67,0.41,0.34,0.64,0.55,0.12,0.13,0.71,0.26,0.29,0.08,0.12,0.17,0.14,0.23,0.15,0.24,0.26,0.24,0.18,0.48,0.11,0.57,0.47,0.21,0.45,0.16,0.33,0.26,0.12,0.45,0.03,0.29,0.18,0.01,0.03,0.24,0.05
NA,"URN:NBN:no-nb_digavis_vesteraalen_null_null_20190126_99_18_1","vesteraalen","Sortland","20190126","2019","finnes overalt. Når- har vi tatt nok, 40 år etter Alta-utbyggingen? S * Ær å T A -. 22 ; å 2RE É",2019-01-26,0.47,0.41,0.75,0.62,0.51,0.45,0.3,0.4,0.5,0.28,0.52,0.59,0.39,0.62,0.47,0.67,0.77,0.51,0.45,0.48,0.67,0.28,0.36,0.67,0.42,0.2,0.68,0.86,0.57,0.61,0.55,0.63,0.52,0.25,0.24,0.81,0.37,0.46,0.35,0.3,0.44,0.49,0.3,0.28,0.53,0.38,0.38,0.49,0.61,0.38,0.66,0.66,0.22,0.48,0.36,0.55,0.5,0.27,0.5,0.11,0.3,0.49,0.37,0.19,0.2,0.27
NA,"URN:NBN:no-nb_digavis_itromso_null_null_20190118_121_15_1","itromso","Tromsø","20190118","2019","Finnmark ble for alvor satt på dagsorden som følge av Alta-saken og de politiske og samerettslige prosessene i etterkant",2019-01-18,0.64,0.42,0.4,0.31,0.12,0.22,0.12,0.11,0.14,0.02,0.25,0.17,0.07,0.96,0.26,0.44,0.58,0.23,0.09,0.57,0.91,0.07,0.09,0.56,0.04,0.35,0.76,0.4,0.12,0.44,0.31,0.3,0.81,0.06,0.03,0.79,0.32,0.31,0.1,0.06,0.07,0.06,0.33,0.05,0.14,0.05,0.19,0.27,0.75,0.1,0.59,0.14,0.08,0.18,0.03,0.1,0.18,0.07,0.21,0.01,0.2,0.53,0.07,0.03,0.08,0.04
NA,"URN:NBN:no-nb_digavis_sagat_null_null_20190118_63_12_1","sagat","Lakselv","20190118","2019","Finnmark ble for alvor satt på dagsorden som følge av Altasaken og de politiske og samerettslige prosessene i etterkant",2019-01-18,0.61,0.44,0.37,0.32,0.11,0.22,0.15,0.09,0.13,0.02,0.26,0.17,0.07,0.96,0.27,0.3,0.57,0.2,0.09,0.58,0.9,0.06,0.06,0.53,0.03,0.34,0.76,0.39,0.12,0.44,0.29,0.29,0.8,0.05,0.03,0.78,0.3,0.29,0.08,0.05,0.06,0.05,0.25,0.04,0.12,0.05,0.19,0.17,0.74,0.1,0.56,0.11,0.08,0.15,0.02,0.07,0.17,0.06,0.21,0.01,0.19,0.54,0.05,0.03,0.07,0.03
NA,"URN:NBN:no-nb_digavis_vesteraalen_null_null_20190122_99_14_1","vesteraalen","Sortland","20190122","2019","Finnmark ble for alvor satt på dagsorden som følge av Altasaken og de politiske og samerettslige prosessene i etterkant",2019-01-22,0.61,0.44,0.37,0.32,0.11,0.22,0.15,0.09,0.13,0.02,0.26,0.17,0.07,0.96,0.27,0.3,0.57,0.2,0.09,0.58,0.9,0.06,0.06,0.53,0.03,0.34,0.76,0.39,0.12,0.44,0.29,0.29,0.8,0.05,0.03,0.78,0.3,0.29,0.08,0.05,0.06,0.05,0.25,0.04,0.12,0.05,0.19,0.17,0.74,0.1,0.56,0.11,0.08,0.15,0.02,0.07,0.17,0.06,0.21,0.01,0.19,0.54,0.05,0.03,0.07,0.03
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","altaposten","Alta","20190322","2019","Finnmark Dagblad-journalist Svein Jørstad jobbet for politiet under Alta-aksjonen. Av Hanne Larsen hanne@altaposten.no – Jeg var forberedt på",2019-03-22,0.57,0.76,0.8,0.61,0.28,0.47,0.26,0.16,0.11,0.19,0.8,0.77,0.95,0.8,0.47,0.65,0.89,0.39,0.21,0.61,0.65,0.16,0.25,0.72,0.31,0.23,0.63,0.82,0.49,0.68,0.57,0.65,0.88,0.06,0.12,0.67,0.49,0.63,0.22,0.95,0.17,0.21,0.57,0.59,0.61,0.57,0.25,0.75,0.71,0.17,0.8,0.52,0.31,0.58,0.46,0.39,0.48,0.63,0.62,0.01,0.45,0.68,0.35,0.15,0.29,0.25
